task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
99	b1/f02ca4	3641080	pipeline:assign_features_with_stringtie:stringtie (88)	COMPLETED	0	2025-08-06 12:37:46.849	1.6s	130ms	16.5%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
103	97/78acd5	3641341	pipeline:assign_features_with_stringtie:stringtie (92)	COMPLETED	0	2025-08-06 12:37:48.442	1.2s	135ms	21.9%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
108	c7/d4d2c4	3641551	pipeline:assign_features_with_stringtie:stringtie (97)	COMPLETED	0	2025-08-06 12:37:49.685	1.6s	121ms	23.1%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
105	d5/765302	3641761	pipeline:assign_features_with_stringtie:stringtie (94)	COMPLETED	0	2025-08-06 12:37:51.288	1.8s	134ms	16.4%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
104	73/4dde38	3641971	pipeline:assign_features_with_stringtie:stringtie (93)	COMPLETED	0	2025-08-06 12:37:53.108	2.1s	999ms	2.9%	4 MB	37.2 MB	1.4 MB	49.3 KB
119	ce/0b8211	3642180	pipeline:assign_features_with_stringtie:stringtie (108)	COMPLETED	0	2025-08-06 12:37:55.237	1.1s	125ms	16.9%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
113	17/982703	3642363	pipeline:assign_features_with_stringtie:stringtie (102)	COMPLETED	0	2025-08-06 12:37:56.297	3s	119ms	11.8%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
112	9a/20df58	3642571	pipeline:assign_features_with_stringtie:stringtie (101)	COMPLETED	0	2025-08-06 12:37:59.324	1.4s	117ms	18.1%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
117	25/831813	3642883	pipeline:assign_features_with_stringtie:stringtie (106)	COMPLETED	0	2025-08-06 12:38:00.754	1s	190ms	16.9%	7.4 MB	236.9 MB	1.5 MB	55.7 KB
123	e4/eb6d79	3643094	pipeline:assign_features_with_stringtie:stringtie (112)	COMPLETED	0	2025-08-06 12:38:01.797	2.5s	1.8s	1.6%	4 MB	37.2 MB	1.4 MB	49.4 KB
121	be/7c1aef	3643466	pipeline:assign_features_with_stringtie:stringtie (110)	COMPLETED	0	2025-08-06 12:38:04.307	1.6s	126ms	16.9%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
118	1a/1695ae	3643651	pipeline:assign_features_with_stringtie:stringtie (107)	COMPLETED	0	2025-08-06 12:38:05.906	699ms	127ms	16.9%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
116	e9/02823b	3643862	pipeline:assign_features_with_stringtie:stringtie (105)	COMPLETED	0	2025-08-06 12:38:06.614	806ms	130ms	17.1%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
