task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
524	11/f53249	4104943	pipeline:assign_features_with_stringtie:align_to_transcriptome (133)	COMPLETED	0	2025-08-06 13:24:33.672	1.1s	105ms	15.6%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
844	9b/768772	4103529	pipeline:assign_features_with_stringtie:assign_features (46)	COMPLETED	0	2025-08-06 13:24:31.518	3.9s	3.3s	81.6%	122.5 MB	1.9 GB	16.5 MB	10 KB
525	16/506cfb	4105428	pipeline:assign_features_with_stringtie:align_to_transcriptome (134)	COMPLETED	0	2025-08-06 13:24:34.797	733ms	111ms	25.1%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
526	3c/462733	4105808	pipeline:assign_features_with_stringtie:align_to_transcriptome (135)	COMPLETED	0	2025-08-06 13:24:35.534	978ms	162ms	12.0%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
845	ac/547def	4104353	pipeline:assign_features_with_stringtie:assign_features (47)	COMPLETED	0	2025-08-06 13:24:33.001	3.6s	3.1s	78.7%	122.8 MB	1.9 GB	16.6 MB	1.5 KB
527	86/26fa5e	4106300	pipeline:assign_features_with_stringtie:align_to_transcriptome (136)	COMPLETED	0	2025-08-06 13:24:36.517	698ms	160ms	14.0%	8.6 MB	2.5 GB	124.1 KB	1.5 KB
528	b4/d33d56	4106705	pipeline:assign_features_with_stringtie:align_to_transcriptome (137)	COMPLETED	0	2025-08-06 13:24:37.221	1s	214ms	10.2%	8.5 MB	2.5 GB	124.1 KB	1.5 KB
529	c4/2d81c3	4107091	pipeline:assign_features_with_stringtie:align_to_transcriptome (138)	COMPLETED	0	2025-08-06 13:24:38.262	750ms	77ms	23.5%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
847	78/24f63a	4105323	pipeline:assign_features_with_stringtie:assign_features (48)	COMPLETED	0	2025-08-06 13:24:34.659	4.7s	4.2s	57.8%	179.1 MB	3.8 GB	16.8 MB	9.4 KB
846	03/dbbe9d	4104416	pipeline:process_bams:create_matrix (41)	COMPLETED	0	2025-08-06 13:24:33.078	6.4s	5.9s	77.9%	198.1 MB	2 GB	30.9 MB	7.8 KB
530	b1/dbb862	4107475	pipeline:assign_features_with_stringtie:align_to_transcriptome (139)	COMPLETED	0	2025-08-06 13:24:39.018	830ms	147ms	14.7%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
531	3f/de437a	4107997	pipeline:assign_features_with_stringtie:align_to_transcriptome (140)	COMPLETED	0	2025-08-06 13:24:39.853	1.3s	237ms	9.2%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
848	2a/34a889	4105775	pipeline:process_bams:create_matrix (42)	COMPLETED	0	2025-08-06 13:24:35.456	6.5s	5.8s	77.6%	199.4 MB	2 GB	30.9 MB	9.6 KB
532	b6/162562	4108525	pipeline:assign_features_with_stringtie:align_to_transcriptome (141)	COMPLETED	0	2025-08-06 13:24:41.115	1s	121ms	16.7%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
533	41/c29c76	4108969	pipeline:assign_features_with_stringtie:align_to_transcriptome (142)	COMPLETED	0	2025-08-06 13:24:42.130	999ms	109ms	17.7%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
850	51/5f2c88	4107641	pipeline:assign_features_with_stringtie:assign_features (49)	COMPLETED	0	2025-08-06 13:24:39.402	4s	3.4s	76.6%	122.5 MB	1.9 GB	15.7 MB	1.4 KB
534	93/33d914	4109433	pipeline:assign_features_with_stringtie:align_to_transcriptome (143)	COMPLETED	0	2025-08-06 13:24:43.134	795ms	206ms	18.9%	2.7 MB	3.8 MB	230.3 KB	107.2 KB
849	09/a4fe33	4106347	pipeline:process_bams:create_matrix (43)	COMPLETED	0	2025-08-06 13:24:36.646	7.9s	7.3s	62.9%	202.5 MB	2 GB	30.9 MB	10.3 KB
